place,Anti-Immigrant,Anti-LGBTQ,Anti-Muslim,Black Separatist,Christian Identity,General Hate,Hate Music,Holocaust Denial,Ku Klux Klan,Male Supremacy,Neo-Confederate,Neo-Nazi,Neo-Volkisch,Racist Skinhead,Radical Traditional Catholicism,White Nationalist
New York,0,4.5,11.4,31.8,0,11.4,2.3,0,4.5,0,0,4.5,2.3,4.5,4.5,18.2
US,2.1,7.4,8.9,27.1,1.2,9.3,1.6,0.7,5,0.1,2.8,6.3,4.8,5.1,1.1,16.5
